Year,Average Temp,Trendline
1850,-0.644745922,-0.513829762
1851,-0.401952812,-0.52323898
1852,-0.494790553,-0.525785727
1853,-0.551466632,-0.502300046
1854,-0.535972716,-0.5234086
1855,-0.527317517,-0.527409141
1856,-0.507495584,-0.543832717
1857,-0.514793257,-0.546165219
1858,-0.633584509,-0.554195136
1859,-0.547635229,-0.59987978
1860,-0.567467101,-0.53744774
1861,-0.735918805,-0.482632646
1862,-0.202633054,-0.428458015
1863,-0.359509042,-0.408499167
1864,-0.276762072,-0.324397481
1865,-0.467672863,-0.327036452
1866,-0.315410374,-0.299479041
1867,-0.215827912,-0.287074134
1868,-0.221721983,-0.246461738
1869,-0.214737538,-0.22185891
1870,-0.26461088,-0.26630126
1871,-0.192396238,-0.283435194
1872,-0.438039661,-0.317530022
1873,-0.307391651,-0.341315707
1874,-0.38521168,-0.410009054
1875,-0.383539305,-0.414572768
1876,-0.535862972,-0.375737112
1877,-0.46085823,-0.39700286
1878,-0.113213374,-0.390822454
1879,-0.491540418,-0.377487851
1880,-0.352637277,-0.366625527
1881,-0.469189954,-0.475355759
1882,-0.406546613,-0.526302816
1883,-0.656864535,-0.61776294
1884,-0.7462757,-0.632048751
1885,-0.809937899,-0.708683628
1886,-0.540619007,-0.685378862
1887,-0.789720998,-0.577886268
1888,-0.540340707,-0.489583619
1889,-0.208812728,-0.524006586
1890,-0.368424655,-0.416180195
1891,-0.71273384,-0.338570752
1892,-0.250589046,-0.410778865
1893,-0.152293492,-0.448893424
1894,-0.569853295,-0.407002511
1895,-0.558997449,-0.427639454
1896,-0.503279272,-0.507981763
1897,-0.353773765,-0.522278667
1898,-0.554005034,-0.481209376
1899,-0.641337815,-0.515063726
1900,-0.353650995,-0.599791911
1901,-0.672551023,-0.654084533
1902,-0.77741469,-0.70526847
1903,-0.825468145,-0.814720779
1904,-0.897257497,-0.788883435
1905,-0.900912543,-0.788088301
1906,-0.543364301,-0.830350134
1907,-0.773439019,-0.817076161
1908,-1.036777312,-0.756539737
1909,-0.830887629,-0.805328983
1910,-0.598230426,-0.752535412
1911,-0.78731053,-0.708480483
1912,-0.509471164,-0.618230868
1913,-0.816502666,-0.5591766
1914,-0.379639556,-0.508837947
1915,-0.302959083,-0.559863885
1916,-0.535617264,-0.495095513
1917,-0.764600854,-0.523443141
1918,-0.492660807,-0.572969219
1919,-0.521377695,-0.522023578
1920,-0.550589476,-0.481497346
1921,-0.280889056,-0.517795171
1922,-0.561969698,-0.56240972
1923,-0.674149931,-0.628710457
1924,-0.744450441,-0.693415238
1925,-0.882093157,-0.718679938
1926,-0.60441296,-0.665608731
1927,-0.6882932,-0.707346085
1928,-0.408793896,-0.661973637
1929,-0.953137212,-0.680867112
1930,-0.655230914,-0.670955525
1931,-0.698880338,-0.720188227
1932,-0.638735264,-0.626153934
1933,-0.654957409,-0.629584143
1934,-0.482965746,-0.595011588
1935,-0.672381958,-0.588719335
1936,-0.526017564,-0.518027719
1937,-0.607273996,-0.547402261
1938,-0.301499333,-0.531352183
1939,-0.629838452,-0.513765801
1940,-0.592131569,-0.438475332
1941,-0.438085657,-0.487664158
1942,-0.230821647,-0.47697815
1943,-0.547443465,-0.422555346
1944,-0.576408411,-0.467414806
1945,-0.320017552,-0.551247743
1946,-0.662382955,-0.59620018
1947,-0.649986331,-0.661809184
1948,-0.772205649,-0.695715938
1949,-0.904453431,-0.682194456
1950,-0.489551324,-0.677083875
1951,-0.594775544,-0.654860811
1952,-0.624433427,-0.600496328
1953,-0.661090329,-0.607573049
1954,-0.632631018,-0.605708595
1955,-0.524934926,-0.570391722
1956,-0.585453274,-0.491200467
1957,-0.447849062,-0.406259819
1958,-0.265134055,-0.413887367
1959,-0.207927775,-0.332415276
1960,-0.563072671,-0.28849081
1961,-0.178092817,-0.298266594
1962,-0.228226733,-0.336453087
1963,-0.314012974,-0.315239971
1964,-0.398860241,-0.390346995
1965,-0.457007091,-0.425246739
1966,-0.553627935,-0.466298371
1967,-0.402725454,-0.438302282
1968,-0.519271135,-0.385921306
1969,-0.258879792,-0.332194753
1970,-0.195102215,-0.29492631
1971,-0.284995168,-0.166804198
1972,-0.21638324,-0.175582248
1973,0.121339427,-0.170457736
1974,-0.302770043,-0.187261391
1975,-0.169479656,-0.189567059
1976,-0.369013444,-0.242275952
1977,-0.227911578,-0.194655902
1978,-0.142205037,-0.158837704
1979,-0.064669794,-0.091413776
1980,0.009611335,-0.098700629
1981,-0.031893807,-0.052118494
1982,-0.264345844,-0.077793002
1983,0.090705638,-0.068077757
1984,-0.193042332,-0.080464279
1985,0.058187558,-0.063936441
1986,-0.093826413,-0.008707547
1987,-0.181706657,0.053838735
1988,0.366850112,0.071858453
1989,0.119689076,0.087808846
1990,0.148286147,0.107925718
1991,-0.014074449,0.009909772
1992,-0.081122296,-0.042879108
1993,-0.123229617,-0.091295815
1994,-0.144255323,-0.068840193
1995,-0.093797388,-0.062482731
1996,0.098203658,0.046772469
1997,-0.049334985,0.119934213
1998,0.423046382,0.149043394
1999,0.221553399,0.152056462
2000,0.051748517,0.209661476
2001,0.113268995,0.171384605
2002,0.238690089,0.131210566
2003,0.231662026,0.191417918
2004,0.020683205,0.169816945
2005,0.352785273,0.166654715
2006,0.005264132,0.144598732
2007,0.22287894,0.210926341
2008,0.121382111,0.216077778
2009,0.352321249,0.24256023
2010,0.378542456,0.237598244
2011,0.137676392,0.333128408
2012,0.198069013,0.350348978
2013,0.59903293,0.358163828
2014,0.438424096,0.444887782
2015,0.417616708,0.491700783
2016,0.571296163,0.450924755
2017,0.432134017,0.432555326
2018,0.395152793,0.442407221
2019,0.346576951,0.384805715
2020,0.466876182,0.39718562
2021,0.283288629,0.404681724
2022,0.494033544,0.495398386
2023,0.432633312,0.565167294
2024,0.800160264,0.63563696
2025,0.815720717,0.682838098